,Start,End,Sleep quality,Time in bed,Activity (steps),Stressful day Total,Drank coffee Total,Drank tea Total,Ate late Total,Worked out Total
244,2016-01-05 22:18:00,2016-01-06 06:20:00,0.66,480.59999999999997,0,0,1,0,0,1
245,2016-01-13 22:44:00,2016-01-14 06:20:00,0.72,441.0,0,1,1,1,1,0
246,2016-01-14 22:10:00,2016-01-15 05:28:00,0.73,430.2,0,0,1,1,0,1
247,2016-01-17 22:00:00,2016-01-18 05:30:00,0.76,437.4,0,0,1,1,0,1
248,2016-01-18 21:56:00,2016-01-19 05:34:00,0.78,442.8,0,0,1,1,1,0
249,2016-01-19 22:46:00,2016-01-20 06:35:00,0.75,448.8,0,0,1,1,0,1
250,2016-01-20 21:13:00,2016-01-21 06:29:00,0.77,549.0,0,0,1,1,0,0
251,2016-01-21 21:33:00,2016-01-22 06:23:00,0.79,510.0,0,0,1,0,0,0
252,2016-01-22 22:17:00,2016-01-23 08:14:00,0.79,574.2,0,0,1,0,0,1
253,2016-01-24 22:06:00,2016-01-25 06:30:00,0.85,493.8,0,0,1,1,0,1
254,2016-01-25 22:27:00,2016-01-26 06:38:00,0.88,486.0,0,0,1,0,0,0
255,2016-01-26 22:58:00,2016-01-27 06:28:00,0.83,437.4,0,0,1,1,0,1
256,2016-01-27 22:02:00,2016-01-28 05:23:00,0.84,432.0,0,0,1,1,0,1
257,2016-01-28 22:11:00,2016-01-29 05:26:00,0.76,429.0,0,0,1,1,0,1
258,2016-01-29 21:47:00,2016-01-30 06:06:00,0.88,491.4,0,0,1,1,0,1
259,2016-01-31 22:58:00,2016-02-01 06:19:00,0.78,432.0,0,0,1,0,0,0
260,2016-02-01 22:02:00,2016-02-02 05:27:00,0.82,435.0,0,0,1,1,0,1
261,2016-02-02 21:47:00,2016-02-03 05:20:00,0.72,439.8,0,0,1,0,0,1
262,2016-02-03 22:54:00,2016-02-04 06:20:00,0.79,435.59999999999997,0,0,1,0,0,1
263,2016-02-04 22:17:00,2016-02-05 06:53:00,0.74,501.0,0,1,1,0,0,1
264,2016-02-05 23:45:00,2016-02-06 07:35:00,0.84,450.0,0,0,1,0,0,0
265,2016-02-06 22:55:00,2016-02-07 07:35:00,0.91,504.0,0,0,0,1,0,0
266,2016-02-08 00:44:00,2016-02-08 07:45:00,0.68,420.59999999999997,0,0,1,1,0,0
267,2016-02-08 22:43:00,2016-02-09 06:40:00,0.77,453.59999999999997,0,0,1,1,0,1
268,2016-02-09 21:57:00,2016-02-10 05:31:00,0.66,439.8,0,0,1,0,0,1
269,2016-02-13 23:41:00,2016-02-14 05:11:00,0.38,318.0,0,0,1,0,0,0
